id,node_id,position
5705558,42831617,4
5705558,42849429,5
5705558,42786133,6
5705558,42878329,7
5705558,42859406,8
5705558,42878334,9
5705558,42878339,10
5705558,42878343,11
5705558,42878344,12
5705558,42845090,13
5705558,42878348,14
5705558,42878351,15
5705558,42854140,16
5705558,42878355,17
5705558,42878359,18
5705558,42868735,19
5705558,42810720,20
5705558,42878362,21
5705558,42878366,22
5705558,42878369,23
5705558,42859187,24
5706033,42805142,0
5706033,4987291241,1
5706033,3394885373,2
5706033,3394885377,3
5706033,42838064,4
5706033,42885288,5
5706525,42892533,0
5706525,42864633,1
5706525,42892538,2
5706525,42859271,3
5706525,42892542,4
5706525,42892545,5
5706525,42892552,6
5706525,42892554,7
5706525,42892559,8
5706525,2246996095,9
5706525,2246996094,10
5706525,2993786651,11
5706525,42892564,12
5706525,42892567,13
5706525,2570350695,14
5706525,42892570,15
5706525,2570350351,16
5706525,42892576,17
5706525,42864688,18
5707001,42899035,0
5707001,42795365,1
5707001,765044281,2
5707001,42899037,3
5707001,2246996096,4
5707001,42899040,5
5707001,2993786892,6
5707001,42899045,7
5707001,42864913,8
5707001,42899051,9
5707001,42884813,10
5707001,42892559,11
5707496,42842428,0
5707496,42877803,1
5707496,42894510,2
5707496,42905941,3
5708031,42879960,0
5708031,4386311896,1
5708031,42913188,2
5708515,498729555,0
5708515,42812803,1
5708515,42919500,2
5708515,42843994,3
5708515,42919505,4
5708515,42854719,5
5709023,42916702,0
5709023,279187748,1
5709506,42930936,0
5709506,3779614601,1
5709506,42824045,2
5709506,42927111,3
5709506,42930944,4
5709506,42816157,5
5710017,42848057,0
5710017,42935496,1
5710433,42869037,0
5710433,274302634,1
5710433,274302396,2
5710433,42881435,3
5710433,42927184,4
5710433,42873723,5
5711073,42948477,0
5711073,42948479,1
5711565,42955558,0
5711565,42955561,1
5712041,42962332,0
5712041,42962335,1
5712041,42962340,2
5712610,42961415,0
5712610,42970853,1
5713095,42959891,0
5713095,42977103,1
5713095,42977106,2
5713095,42977108,3
5713095,42977112,4
5713095,42977117,5
5713095,42977122,6
5713095,42977127,7
5713095,42977131,8
5713095,42977134,9
5713601,42952142,0
5713601,42948192,1
5713601,42983959,2
5713601,42983962,3
5714078,446821369,0
5714078,446822477,1
5714505,42998480,0
5714505,447760303,1
5715182,43006268,0
5715182,42967832,1
5715182,43006271,2
5715817,43012149,0
5715817,42992201,1
5716378,43017003,0
5716378,43016998,1
5716378,43017006,2
5716984,42979784,0
5716984,42986472,1
5717519,42951105,0
5717519,43026445,1
5717519,43026449,2
5717519,43007194,3
5717519,43026452,4
5717519,43019901,5
5717519,43019898,6
7917515,42755491,0
7917515,112411621,1
7917515,112411620,2
7917515,112411619,3
7917515,112411618,4
7917515,112411617,5
7917515,112411616,6
7917515,112411615,7
7917515,112411614,8
7917515,112411613,9
7917515,112411612,10
7917515,112411611,11
7917515,112411610,12
7917515,112411609,13
7917515,2023793330,14
7917515,112411608,15
7917515,2023741483,16
7917515,1907818728,17
10163454,83894231,0
10163454,83894232,1
10167136,83928584,0
10167136,83928586,1
10167136,83928588,2
10169584,83950426,0
10169584,1467675284,1
10169584,83950427,2
10169584,83950428,3
10171565,83943950,0
10171565,83966959,1
10171565,83966961,2
10173957,2406607809,0
10173957,4022756674,1
10173957,2406607840,2
10173957,2406608058,3
10173957,2406607959,4
10173957,2406607761,5
10173957,2406607907,6
10173957,2406607891,7
10173957,2406607832,8
10173957,2406607804,9
10173957,2406607785,10
10173957,83987578,11
10173957,2406607855,12
10173957,2406607973,13
10173957,2406607920,14
10173957,2406607835,15
10173957,2406607947,16
10173957,2406607944,17
10173957,2406607955,18
10173957,2406607931,19
10173957,2406607916,20
10173957,2406607800,21
10173957,2406607838,22
10173957,2406607762,23
10173957,2406607991,24
10173957,2406607813,25
10173957,2406608000,26
10173957,2406607879,27
10173957,2406607914,28
10173957,2406608062,29
10173957,83972697,30
10173957,2406607725,31
10173957,2406608074,32
10173957,2406607819,33
10173957,2406607737,34
10173957,2406607967,35
10173957,2406608050,36
10173957,2406607964,37
10173957,2406607946,38
10173957,2406607883,39
10173957,2406607905,40
10173957,83947231,41
10173957,2406607896,42
10173957,2406607768,43
10173957,2406608071,44
10173957,2406608069,45
10173957,83987580,46
10173957,83987582,47
10173957,2406607900,48
10173957,2406607993,49
10173957,2406607823,50
10176621,83920471,0
10176621,84003558,1
10179659,84019223,0
10179659,84019225,1
10179659,83924267,2
10179659,84019226,3
10181809,83943316,0
10181809,320394944,1
10181809,320394949,2
10181809,84015598,3
10181809,320394950,4
10181809,84033748,5
10183854,84042334,0
10183854,4612392574,1
10183854,316718007,2
10183854,84045696,3
10183854,83953474,4
